,match_id,minute,team,player,location_x,location_y,under_pressure,goal_scored,coded_team,coded_player
0,7570,12,Arsenal,Mesut Özil,89.0,36.0,0,0,0,47
1,7570,23,Arsenal,Mesut Özil,92.0,38.0,1,0,0,47
2,7570,34,West Ham,Mark Noble,8.0,42.0,0,0,16,43
3,7570,45,Arsenal,Theo Walcott,87.0,35.0,0,0,0,62
4,7570,56,West Ham,Aaron Cresswell,12.0,44.0,1,0,16,0
5,7570,67,Arsenal,Santi Cazorla,90.0,37.0,0,1,0,60
6,7570,78,Arsenal,Mesut Özil,88.0,36.0,0,0,0,47
7,7570,89,West Ham,Manuel Lanzini,10.0,41.0,1,0,16,40
8,7570,91,Arsenal,Mesut Özil,91.0,39.0,0,0,0,47
9,7570,93,West Ham,Mark Noble,9.0,43.0,1,0,16,43
10,7581,15,Manchester City,Kevin De Bruyne,91.0,34.0,0,0,10,35
11,7581,28,Manchester City,Riyad Mahrez,88.0,37.0,0,0,10,59
12,7581,42,Chelsea,Mason Mount,7.0,39.0,1,0,5,45
13,7581,55,Manchester City,Kevin De Bruyne,90.0,35.0,0,1,10,35
14,7581,67,Chelsea,Reece James,9.0,41.0,1,0,5,58
15,7581,79,Manchester City,Phil Foden,92.0,36.0,0,0,10,55
16,7581,88,Chelsea,Ben Chilwell,10.0,38.0,1,0,5,6
17,7582,8,Liverpool,Trent Alexander-Arnold,91.0,33.0,0,0,9,63
18,7582,19,Liverpool,Andrew Robertson,89.0,35.0,0,0,9,4
19,7582,33,Manchester United,Bruno Fernandes,8.0,40.0,1,0,11,7
20,7582,47,Liverpool,Trent Alexander-Arnold,92.0,34.0,0,1,9,63
21,7582,61,Manchester United,Marcus Rashford,11.0,42.0,1,0,11,41
22,7582,74,Liverpool,Mohamed Salah,90.0,36.0,0,0,9,49
23,7582,86,Manchester United,Luke Shaw,9.0,39.0,1,0,11,39
24,7583,11,Tottenham,Heung-min Son,88.0,37.0,0,0,15,21
25,7583,24,Tottenham,James Maddison,90.0,35.0,0,0,15,23
26,7583,38,Newcastle,Kieran Trippier,10.0,43.0,1,0,12,36
27,7583,52,Tottenham,Dejan Kulusevski,91.0,36.0,0,0,15,14
28,7583,65,Newcastle,Bruno Guimarães,8.0,41.0,1,0,12,8
29,7583,79,Tottenham,Heung-min Son,89.0,34.0,0,0,15,21
